masv,hocky,namhoc,dtbhk,sotchk
16520322,2,2016,7.46,15
16520322,3,2016,6.6,4
16520322,1,2017,7.57,23
16520322,2,2017,7.7,21
16520322,1,2018,8.39,14
16520323,1,2016,7.76,12
16520323,2,2016,7.71,13
16520323,3,2016,8.33,6
16520323,1,2017,8.03,20
16520323,2,2017,8.4,20
16520323,1,2018,8.01,17
16520327,1,2016,7.41,19
16520327,2,2016,7.43,21
16520327,1,2017,7.04,24
16520327,2,2017,7.02,17
16520327,1,2018,8.04,15
16520329,1,2016,4.1,15
16520329,2,2016,0.0,6
16520330,1,2016,4.61,19
16520330,2,2016,2.32,15
16520330,3,2016,3.97,7
16520330,1,2017,0.3,23
16520331,1,2016,5.81,17
16520331,2,2016,5.5,21
16520331,3,2016,8.0,3
16520331,1,2017,6.38,24
16520331,2,2017,7.09,24
16520331,3,2017,9.1,3
16520331,1,2018,7.27,19
16520332,1,2016,5.73,15
16520332,2,2016,3.8,21
16520332,1,2017,0.69,16
16520333,1,2016,6.75,15
16520333,2,2016,5.47,19
16520333,1,2017,7.93,20
16520333,2,2017,7.64,21
16520333,1,2018,5.56,18
16520337,1,2016,7.17,15
16520337,2,2016,4.54,15
16520337,1,2017,6.23,21
16520337,2,2017,6.0,24
16520337,3,2017,8.3,4
16520337,1,2018,6.36,12
